Latitude,Longitude
37.2984994425,-121.92804454166667
37.265886445,-121.93199789166667
37.25715797,-121.80015522727273
37.314718445,-121.793252575
37.29908695857143,-121.95725115714286
37.37284880375,-121.9043277625
37.275943080000005,-121.88319266666667
37.27760825,-121.86812935
37.25638195875,-121.88014774999999
37.31333514538461,-121.94783152307693
37.31232931375,-121.80664615
37.33786009875,-121.88873115833333
37.239673064,-121.92435078
37.345407567,-121.9134908
37.360177694166666,-121.90594318333333
37.32039237037037,-121.88110690740741
37.34842383,-121.83438438095239
37.246613374285715,-121.85543792857142
37.21018908,-121.84354825
37.37986765714286,-121.87740357142857
37.22448843,-121.88047474999999
37.3188925275,-121.976601475
37.331556991111114,-121.85469035
37.397999895,-121.8302158
37.23797487875,-121.8306110625
37.384347013076926,-121.85888872307693
37.359609937777776,-121.89204446666668
37.356268424,-121.81564474
37.310357905000004,-121.76636705000001
37.335864505,-121.78718171666667
