CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
685012,CR-0000093676,0,0,0,0,22-238-0069,False,False,96.0,8/26/2022 2:42:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,True,True,77681,JULIAN ST,SEVENTEENTH ST,37.34822975,-121.8776438
696441,CR-0000099618,0,0,0,0,23-112-0024,False,False,83.0,4/22/2023 12:20:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,True,True,77681,JULIAN ST,SEVENTEENTH ST,37.34822975,-121.8776438
692501,CR-0000097789,0,0,0,0,23-070-0221,True,False,0.0,3/11/2023 12:01:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Unknown,Rain,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,At,,False,True,77681,JULIAN ST,SEVENTEENTH ST,37.34822975,-121.8776438
690753,CR-0000096890,0,0,0,0,23-015-0495,False,False,0.0,1/15/2023 4:00:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,Controls Functioning,Rain,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,West Of,,True,True,59630,FIFTEENTH ST,JULIAN ST,37.34734479,-121.8795102
722396,CR-0000103690,2,0,0,0,24-098-0824,False,False,0.0,4/7/2024 10:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,True,17544,BERRYESSA RD,LUNDY AV,37.37379053,-121.8730624
689665,CR-0000095648,0,0,0,0,22-338-9701,False,False,,12/3/2022 11:50:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Unknown,Controls Functioning,Clear,Sideswipe,Related,Other Vehicle,Not Applicable,Not Applicable,Unknown,,False,True,17544,BERRYESSA RD,LUNDY AV,37.37379053,-121.8730624
685382,CR-0000094117,0,0,0,0,22-231-0908,False,False,577.0,8/19/2022 9:07:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,True,17544,BERRYESSA RD,LUNDY AV,37.37379053,-121.8730624
690165,CR-0000096254,0,0,0,0,22-156-4001,False,True,51.0,6/5/2022 12:15:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,Unknown,,False,True,17544,BERRYESSA RD,LUNDY AV,37.37379053,-121.8730624
683296,CR-0000092882,0,0,0,0,22-140-0652,False,False,66.0,5/20/2022 4:04:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,True,11000,AVENIDA DEL ROBLE/TRADEWINDS DR,SNELL AV,37.25477025,-121.8308112
682855,CR-0000092441,0,0,0,0,22-157-0308,False,False,140.0,6/6/2022 10:45:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,20481,BLOSSOM HILL RD,THORNWOOD DR,37.25031991,-121.8558826
698731,CR-0000099981,1,0,0,0,23-260-0247,False,False,0.0,9/17/2023 7:20:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,106006,SAN ANTONIO ST,TWENTY FOURTH ST,37.34404164,-121.8648462
696444,CR-0000099621,0,0,0,0,23-111-0091,False,False,220.0,4/21/2023 3:16:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,True,True,106006,SAN ANTONIO ST,TWENTY FOURTH ST,37.34404164,-121.8648462
689767,CR-0000095788,1,0,0,0,22-152-0980,False,False,32.0,6/1/2022 9:53:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Dark - Street Light Not Functioning,Violation Driver 1,Controls Functioning,Clear,Vehicle/Pedestrian,Related,Pedestrian,No Direction (Not Walking),No Direction (Not Walking),West Of,PEDESTRIAN,False,True,106006,SAN ANTONIO ST,TWENTY FOURTH ST,37.34404164,-121.8648462
694506,CR-0000098500,1,0,0,0,23-176-0125,True,False,0.0,6/25/2023 2:15:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,West Of,SIGNAL POLE,False,True,71631,HEDDING ST,TENTH ST,37.35790327,-121.8938616
689077,CR-0000094916,0,1,0,0,22-288-0698,False,False,0.0,10/15/2022 7:25:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,True,71631,HEDDING ST,TENTH ST,37.35790327,-121.8938616
690701,CR-0000096837,0,0,0,0,23-020-9805,False,False,51.0,1/2/2023 2:35:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Rain,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,27444,BURTON AV,FIRST ST/I-880 NB,37.3571378,-121.9061965
689926,CR-0000095966,1,0,0,0,22-151-0205,False,False,295.0,5/31/2022 7:35:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Broadside,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,True,126015,GUADALUPE FR,NARVAEZ AV,37.27599522,-121.8621886
682624,CR-0000092191,0,0,0,0,22-130-0363,False,False,120.0,5/10/2022 11:26:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,63425,FOXWORTHY AV,OLD ALMADEN RD,37.27848196,-121.8782492
