"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"691000","CR-0000097170","0","0","0","0","23-036-0788","False","False","40.0","2/5/2023 9:20:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","West Of","","True","True","9294","ARQUEADO DR/PEANUT BRITTLE DR","FLINT AV","37.331104","-121.7895946"
"690705","CR-0000096842","0","0","0","0","23-014-0057","True","False","184.0","1/14/2023 1:09:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Rain","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","SIGN","False","True","30590","CAMDEN AV","MERRILL LP","37.24195658","-121.9051294"
"698733","CR-0000099983","1","0","1","0","23-262-0773","True","False","48.0","9/19/2023 6:03:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Related","Pedestrian","Unknown","Unknown","West Of","PED/LIGHT POLE","True","True","70399","HARLISS AV","VIRGINIA ST","37.32022376","-121.8885795"
"715867","CR-0000101949","0","0","0","0","23-225-0697","False","False","51.0","8/13/2023 6:35:00 PM","No Pedestrians Involved","Dry","Unknown","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","True","True","53547","EAST HILLS DR","WHITE RD","37.36224773","-121.8247268"
"692457","CR-0000097744","0","0","0","0","23-084-0550","False","False","60.0","3/25/2023 5:03:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","False","True","53547","EAST HILLS DR","WHITE RD","37.36224773","-121.8247268"
"691007","CR-0000097178","0","0","0","0","23-059-0204","False","False","60.0","2/28/2023 8:30:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Rain","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","True","True","24584","BRENTON AV","COUNTRY LN","37.29854367","-121.9921259"
"699130","CR-0000100446","0","0","0","0","23-147-0063","False","False","380.0","6/23/2023 1:26:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of","","False","True","64382","GALLANT FOX AV","WHIRLAWAY DR","37.26369933","-121.8067246"
"695802","CR-0000098867","1","0","0","0","23-258-0757","False","False","100.0","9/15/2023 6:42:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","True","True","20272","BLOSSOM HILL RD","MONTEREY RD","37.25627054","-121.8034319"
"699455","CR-0000100779","0","0","0","0","23-197-0704","False","False","0.0","7/16/2023 6:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","True","True","20272","BLOSSOM HILL RD","MONTEREY RD","37.25627054","-121.8034319"
"712026","CR-0000101339","0","0","0","0","23-342-1146","False","False","0.0","12/8/2023 11:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","20272","BLOSSOM HILL RD","MONTEREY RD","37.25627054","-121.8034319"
