Latitude,Longitude
37.314718445,-121.793252575
37.27297999,-121.744347
37.30840778625,-121.900852675
37.30286770409091,-121.86503129090909
37.32572119823529,-121.87212232941177
37.25365232111111,-121.82191804444444
37.308841095,-121.9710118375
37.33064324,-121.81365331666666
37.360177694166666,-121.90594318333333
37.34919705461539,-121.80481485384615
37.34151974,-121.86335930588235
37.27446969625,-121.8596577
37.2984994425,-121.92804454166667
37.331556991111114,-121.85469035
37.39190328888889,-121.84757944444445
37.397999895,-121.8302158
37.31232931375,-121.80664615
37.26377927615385,-121.80940877692308
37.246613374285715,-121.85543792857142
37.300492588333334,-121.99907626666666
37.285794089999996,-121.7718917
37.360681408695655,-121.83215255217391
37.27760825,-121.86812935
37.356268424,-121.81564474
37.34842383,-121.83438438095239
37.35068179307692,-121.87995677692308
37.30493032,-122.03225284999999
37.21018908,-121.84354825
37.292264253125,-121.88412244375
37.239673064,-121.92435078
