Latitude,Longitude,typeofdata
37.3559516,-121.8348182,police
37.3525873,-121.8243465,police
37.3386882,-121.8895875,police
37.3513916,-121.8706783,police
37.3708758,-121.9156123,police
37.3191,-121.876028,police
37.3304161,-121.8886795,police
37.3109456,-121.821149,police
37.3104828,-121.8876708,police
37.3394027,-121.868712,police
37.2266129,-121.7770321,police
37.3615014,-121.8803789,police
37.2925802,-121.9881879,police
37.28774140000001,-121.9962441,police
37.4085578,-121.9376758,police
37.3051932,-121.966053,police
37.33874,-121.8852525,police
37.3412729,-121.8403212,police
37.3412729,-121.8403212,police
37.343723,-121.8376462,police
37.3484305,-121.8306835,police
37.3841957,-121.8817023,police
37.3831241,-121.856587,police
37.3311101,-121.8128426,police
37.3423459,-121.8631973,police
37.3021841,-121.895188,police
37.2865161,-121.8251704,police
37.27801609999999,-121.813272,police
37.3548702,-121.8823169,police
37.37090269999999,-121.8632157,police
37.2641561,-121.8124324,police
37.30819,-121.8778169,police
37.2944399,-121.9225988,police
37.3661434,-121.882996,police
37.3463511,-121.9151211,police
37.3184147,-121.9830847,police
37.31614769999999,-121.9546821,police
37.2435226,-121.8964177,police
37.2823978,-121.8235034,police
37.2782272,-121.9162756,police
37.4019754,-121.8617684,police
37.3300883,-121.8731217,police
37.3114225,-121.8377247,police
37.3790629,-121.92269,police
37.2816357,-121.8391213,police
37.2724914,-121.8289094,police
37.2498675,-121.861525,police
37.3027998,-122.031897,police
37.3083836,-121.9678931,police
37.2469238,-121.877665,police
37.3025424,-121.9248238,police
37.3304161,-121.8886795,police
37.349868,-121.852585,police
37.2512393,-121.834679,police
37.3592885,-121.8909941,police
37.3249759,-121.7968991,police
37.3194381,-121.9838,police
37.3245352,-121.8056708,police
37.30406809999999,-121.8743442,police
37.2466617,-121.8958596,police
37.3102238,-122.0318436,police
37.4077216,-121.9386169,police
37.3203724,-121.8289935,police
37.2744479,-121.8689744,police
37.2505453,-121.841448,police
37.3724393,-121.8450326,police
37.3509579,-121.8266793,police
37.349868,-121.852585,police
37.3431596,-121.9053928,police
37.3300826,-121.8574537,police
37.344935,-121.8112886,police
37.3480697,-121.8222718,police
37.2707299,-121.8490522,police
37.3814751,-121.8612243,police
37.3989717,-121.8684131,police
37.2752298,-121.8907048,police
37.2651502,-121.7925174,police
37.3498373,-121.907013,police
37.32057,-121.9887053,police
37.3704045,-121.9213291,police
37.3161664,-121.9502295,police
37.2534734,-121.8754995,police
37.2921116,-121.8138128,police
37.3215906,-121.9170413,police
37.2927542,-121.9132064,police
37.298541,-121.9933194,police
37.3158729,-121.9067335,police
37.3700908,-121.8428454,police
37.2854709,-121.8516396,police
37.2500107,-121.8684881,police
37.3764561,-121.8336048,police
37.3013687,-121.9257929,police
37.2460928,-121.7877345,police
37.3878916,-121.855512,police
37.3409717,-121.8437405,police
37.3443884,-121.8534545,police
37.3381326,-121.8590216,police
37.3254142,-121.8212655,police
37.3387069,-121.8852586,police
37.4013477,-121.932221,police
37.2368265,-121.8306876,police
37.2930818,-121.8746266,police
37.3098478,-121.8449574,police
37.2613752,-121.9211332,police
37.3708758,-121.9156123,police
37.3708758,-121.9156123,police
37.3201223,-121.8475354,police
37.2686499,-121.8077141,police
37.2686499,-121.8077141,police
37.3526656,-121.8468201,police
37.3151266,-121.8236714,police
37.3136006,-121.7740862,police
37.3421023,-121.8781051,police
37.2602021,-121.7837351,police
37.2483727,-121.8030736,police
37.2755975,-121.8370124,police
37.3076881,-121.8347557,police
37.2733764,-121.849567,police
37.2747626,-121.933904,police
37.2578165,-121.9484824,police
37.3326476,-121.8536595,police
37.3362522,-121.8315105,police
37.2772305,-121.8338352,police
37.33874,-121.8852525,police
37.3782339,-121.9382172,police
37.3218301,-121.8221923,police
37.2985545,-121.9921576,police
37.3401197,-121.8197734,police
37.3751105,-121.9351037,police
37.2514746,-121.8251026,police
37.3296299,-121.8579831,police
37.3288829,-121.8712977,police
37.32517440000001,-121.866688,police
37.2513828,-121.8307781,police
37.2388168,-121.8306568,police
37.33874,-121.8852525,police
37.3141621,-121.9081763,police
37.259021,-121.8761074,police
37.2743432,-121.8603926,police
37.3145979,-121.7909374,police
37.3450221,-121.8089827,police
37.2507955,-121.7978939,police
37.4251945,-121.9765097,police
37.2925802,-121.9881879,police
37.2755824,-121.8771465,police
37.2946705,-121.8525282,police
37.3206906,-121.8835401,police
37.3002965,-121.8209328,police
37.2925802,-121.9881879,police
37.3233014,-121.9458487,police
37.3234501,-121.9137937,police
37.3038445,-121.9225552,police
37.3514936,-121.8261463,police
37.2630119,-121.87682,police
37.3545365,-121.85175,police
37.3409717,-121.8437405,police
37.3351695,-121.8316208,police
37.3713195,-121.9166775,police
37.3577736,-121.8452594,police
37.3283559,-121.8853348,police
37.3751105,-121.9351037,police
37.2821269,-121.817334,police
37.407955,-121.9376672,police
37.3461997,-121.8880008,police
37.2848676,-121.8531576,police
37.2462201,-121.8770736,police
37.3206906,-121.8835401,police
37.3483772,-121.8108918,police
37.35840460000001,-121.8429618,police
37.30035549999999,-121.8438709,police
37.3163826,-121.8740442,police
37.3318783,-121.9022011,police
37.3042672,-121.9314447,police
37.2885696,-121.7655874,police
37.39681330000001,-121.8717307,police
37.31037990000001,-121.9319086,police
37.3144211,-121.9432617,police
37.3234189,-121.9359741,police
37.2916069,-121.8289504,police
37.2577643,-121.875982,police
37.2927542,-121.9132064,police
37.3036065,-121.8610849,police
37.350794,-121.816772,police
37.3560398,-121.8638599,police
37.2890023,-121.9890156,police
37.2473679,-121.7822643,police
37.3474423,-121.8668404,police
37.3358257,-121.8860366,police
37.2128838,-121.7354322,police
37.3882795,-121.8547111,police
37.3080395,-121.8975982,police
37.2128838,-121.7354322,police
37.2783636,-121.923515,police
37.3363511,-121.8849563,police
37.3218713,-121.8794654,police
37.3290108,-121.8791692,police
37.3081682,-121.7906259,police
37.3665547,-121.8661142,police
37.3266434,-121.889132,police
37.2977788,-121.9544724,police
37.2630119,-121.87682,police
37.3296299,-121.8579831,police
37.3261525,-121.908862,police
37.3517441,-121.900757,police
37.3713195,-121.9166775,police
37.2968445,-121.9544686,police
37.362707,-121.875646,police
37.3427438,-121.840026,police
37.2947131,-121.876255,police
37.3288829,-121.8712977,police
37.2411078,-121.8078505,police
37.2832272,-121.8646077,police
37.1655228,-121.6917728,police
37.3538495,-121.9032625,police
37.3261066,-121.8816411,police
37.3482314,-121.8776768,police
37.3547919,-121.8572004,police
37.3262313,-121.8186668,police
37.3320003,-121.8887596,police
37.33874,-121.8852525,police
37.35840460000001,-121.8429618,police
37.2505849,-121.8175125,police
37.2662828,-121.9410389,police
37.325587,-121.8530366,police
37.34971549999999,-121.8989783,police
37.33771249999999,-121.9435487,police
37.3708758,-121.9156123,police
37.2946705,-121.8525282,police
37.2369722,-121.8302292,police
37.3201942,-121.8772776,police
37.3622623,-121.8354114,police
37.2514252,-121.8127663,police
37.3503466,-121.8038185,police
37.3541233,-121.8393563,police
37.3363511,-121.8849563,police
37.3736604,-121.9312227,police
37.3049508,-121.849543,police
37.3565991,-121.9053448,police
37.3187271,-121.8224334,police
37.3724393,-121.8450326,police
37.2780438,-121.8696735,police
37.3565991,-121.9053448,police
37.2762315,-121.7796494,police
37.3681662,-121.9046895,police
37.3081371,-121.9776122,police
37.3363511,-121.8849563,police
37.3018608,-121.8055883,police
37.3266148,-121.7854656,police
37.3810819,-121.8263559,police
37.2399844,-121.8942119,police
37.271118,-121.8304106,police
37.3810819,-121.8263559,police
37.2903662,-121.8534871,police
37.3774301,-121.9252084,police
37.2542471,-121.8755792,police
37.2642959,-121.9727652,police
37.33874,-121.8852525,police
37.2516418,-121.9083955,police
37.3646391,-121.8448059,police
37.293338,-121.8332509,police
37.2839673,-121.8340039,police
37.2906129,-121.8315291,police
37.3058803,-121.9022558,police
37.2618276,-121.9168332,police
37.4156767,-121.9381589,police
37.31110109999999,-121.8720389,police
37.3700908,-121.8428454,police
37.2602201,-121.8102612,police
37.2946705,-121.8525282,police
37.3311903,-121.7959368,police
37.3488349,-121.8343773,police
37.340186,-121.9023491,police
37.3134789,-121.8419816,police
37.3305824,-121.8047741,police
37.3177493,-121.874702,police
37.3281978,-121.8943026,police
37.3724393,-121.8450326,police
37.2963933,-121.7567784,police
37.3135172,-121.8645634,police
37.28553520000001,-121.8227461,police
37.2752643,-121.8385087,police
37.3305824,-121.8047741,police
37.2645692,-121.931459,police
37.386402,-121.8900579,police
37.3232322,-121.8668138,police
37.3327086,-121.8535437,police
37.3089427,-121.9496663,police
37.3371651,-121.8933318,police
37.3371625,-121.89333,police
37.2891016,-121.881026,police
37.343445,-121.9286173,police
37.3189477,-121.9137473,police
37.3109676,-121.8682868,police
37.3090506,-121.8776963,police
37.28024,-121.8148452,police
37.33874,-121.8852525,police
37.2630119,-121.87682,police
37.3380821,-121.8412679,police
37.3768683,-121.842893,police
37.3007293,-121.9254536,police
37.3878916,-121.855512,police
37.3231376,-121.9700468,police
37.2529657,-121.9518059,police
37.3052141,-121.9367169,police
37.322417,-121.83086,police
37.3323427,-121.8537043,police
37.3369678,-121.8345001,police
37.3483962,-121.8642683,police
37.3713195,-121.9166775,police
37.307616,-121.8291481,police
37.3159466,-121.9760342,police
37.3411982,-121.8800121,police
37.3005344,-121.8941736,police
37.343445,-121.9286173,police
37.2696364,-121.8177009,police
37.2780553,-121.8509475,police
37.3969928,-121.9242724,police
37.3196185,-121.8830986,police
37.3295047,-121.7942078,police
37.2633788,-121.8120058,police
37.2628208,-121.8769838,police
37.3093485,-121.8062209,police
37.3165233,-121.8325722,police
37.3647628,-121.8916272,police
37.2769931,-121.8420742,police
37.3485428,-121.837122,police
37.2741459,-121.9077274,police
37.2377372,-121.899024,police
37.1822507,-121.7617212,police
37.3788201,-121.851848,police
37.3610174,-121.8379918,police
37.3602313,-121.8224972,police
37.2221075,-121.78391,police
37.3408015,-121.8288092,police
37.395631,-121.8700298,police
37.33874,-121.8852525,police
37.2757982,-121.849253,police
37.3430893,-121.8885222,police
37.308238,-121.8036998,police
37.3354705,-121.8920764,police
37.3255583,-121.8333168,police
37.2288349,-121.7767948,police
37.3342633,-121.8515383,police
37.3565394,-121.8946366,police
37.2977498,-121.8375497,police
37.3010845,-121.9255001,police
37.3189328,-121.8822276,police
37.3137745,-121.8652628,police
37.2950021,-121.8724798,police
37.3460792,-121.8341644,police
37.2488709,-121.8846977,police
37.3510302,-121.8587295,police
37.3306148,-121.8721637,police
37.2497124,-121.7923794,police
37.3720887,-121.8386667,police
37.3118036,-121.8631173,police
37.2994525,-121.8454907,police
37.330597,-121.8806895,police
37.3536095,-121.8388957,police
37.3331257,-121.8377699,police
37.3176172,-121.822573,police
37.3557026,-121.8437925,police
37.3308434,-121.919995,police
37.3296299,-121.8579831,police
37.37952569999999,-121.8526287,police
37.3036065,-121.8610849,police
37.3207515,-121.8762491,police
37.3207515,-121.8762491,police
37.3198767,-121.8079842,police
37.3665547,-121.8661142,police
37.3106966,-121.9304865,police
37.2593886,-121.8903002,police
37.3606925,-121.9002207,police
37.3724393,-121.8450326,police
37.3516445,-121.8489519,police
37.33874,-121.8852525,police
37.3396876,-121.8874469,police
37.2939958,-121.8430367,police
37.25704770000001,-121.870574,police
37.3442559,-121.913007,police
37.3411982,-121.8800121,police
37.33874,-121.8852525,police
37.2589754,-121.8194247,police
37.266596,-121.9223873,police
37.3423767,-121.9108664,police
37.3423767,-121.9108664,police
37.3309114,-121.8885436,police
37.3203408,-121.8779398,police
37.3344836,-121.8547984,police
37.3480031,-121.8566741,police
37.3553954,-121.8943193,police
37.3357459,-121.83868,police
37.33874,-121.8852525,police
37.2946705,-121.8525282,police
37.3207515,-121.8762491,police
37.3262313,-121.8186668,police
37.2529657,-121.9518059,police
37.3526656,-121.8468201,police
37.4007299,-121.82287,police
37.2513876,-121.8175234,police
37.2930818,-121.8746266,police
37.3423767,-121.9108664,police
37.3732349,-121.918408,police
37.3521531,-121.8755248,police
37.3396876,-121.8874469,police
37.3260373,-121.8203675,police
37.3237872,-121.808565,police
37.3461728,-121.8376696,police
37.2980512,-121.8475279,police
37.3398236,-121.8431484,police
37.3091525,-121.9693541,police
37.3010845,-121.9255001,police
37.3150795,-121.8365373,police
37.3311101,-121.8128426,police
37.3053073,-121.7850574,police
37.31494929999999,-121.8362225,police
37.3318783,-121.9022011,police
37.3619331,-121.8856484,police
37.2934545,-121.7872464,police
37.3570568,-121.8104225,police
37.343357,-121.8316375,police
37.3408412,-121.8631045,police
37.3300442,-121.8770425,police
37.2715068,-121.8049305,police
37.3122444,-122.0323871,police
37.320315,-121.9748464,police
37.2378168,-121.7718054,police
37.3075114,-121.9115169,police
37.2341267,-121.9697146,police
37.2386419,-121.8968522,police
37.2693545,-121.9381916,police
37.23631700000001,-121.9114546,police
37.2735405,-121.8856774,police
37.3285923,-121.8806528,police
37.3469442,-121.8326035,police
37.3470897,-121.8629581,police
37.3172244,-121.9216628,police
37.33163649999999,-121.8742535,police
37.3389358,-121.9003191,police
37.3119033,-121.8048579,police
37.3290889,-121.8838773,police
37.332674,-121.8124877,police
37.3130576,-121.9613246,police
37.2930818,-121.8746266,police
37.3064447,-121.9499422,police
37.2483888,-121.8425608,police
37.3233014,-121.9458487,police
37.3503063,-121.8855222,police
37.3550086,-121.8877641,police
37.3374544,-121.8961152,police
37.2927867,-121.8504365,police
37.2764198,-121.8291939,police
37.33874,-121.8852525,police
37.3579051,-121.8938847,police
37.2434311,-121.7974946,police
37.3096296,-121.9228146,police
37.3388419,-121.8756739,police
37.3232129,-121.9176547,police
37.2757982,-121.849253,police
37.340982,-121.8800876,police
37.3503063,-121.8855222,police
37.3511037,-121.8590179,police
37.2988152,-121.9544766,police
37.3412729,-121.8403212,police
37.31991010000001,-121.8655611,police
37.3535657,-121.8537644,police
37.3129019,-121.908166,police
37.3178019,-121.8248625,police
37.2376419,-121.8640664,police
37.2880824,-121.8281217,police
37.3445252,-121.8086509,police
37.3571978,-121.8315654,police
37.3086984,-121.9705521,police
37.33874,-121.8852525,police
37.3201942,-121.8772776,police
37.347698,-121.8024293,police
37.3536546,-121.8340069,police
37.3484305,-121.8306835,police
37.3235023,-121.9238421,police
37.2696735,-121.9050583,police
37.30548539999999,-121.8514609,police
37.3012199,-121.8420535,police
37.3187648,-121.8399443,police
37.3330428,-121.8500599,police
37.3257641,-121.8292573,police
37.3296198,-121.8742237,police
37.4118287,-121.8884897,police
37.2924365,-121.9974157,police
37.3094937,-121.8484682,police
37.3601092,-121.891136,police
37.3084472,-121.8118779,police
37.3311101,-121.8128426,police
37.3311101,-121.8128426,police
37.3443009,-121.8472798,police
37.3172823,-121.9500478,police
37.3655735,-121.9076988,police
37.3904713,-121.9153364,police
37.2928201,-121.9754831,police
37.3158545,-121.9530865,police
37.2975932,-121.9498596,police
37.2312322,-121.7865703,police
37.225141,-121.7724033,police
37.3679569,-121.880655,police
37.2977498,-121.8375497,police
37.3670674,-121.9134887,police
37.330597,-121.8806895,police
37.3429598,-121.9262681,police
37.3140333,-121.7917223,police
37.2330326,-121.7789382,police
37.2880824,-121.8281217,police
37.3479326,-121.9223352,police
37.274633,-121.854568,police
37.2613752,-121.9211332,police
37.3984597,-121.9363015,police
37.3005351,-121.8941732,police
37.3125405,-121.8702085,police
37.3565359,-121.83056,police
37.3655735,-121.9076988,police
37.3525873,-121.8243465,police
37.2754508,-121.849939,police
37.2499869,-121.8789797,police
37.3098804,-121.96597,police
37.3882654,-121.8619666,police
37.3233754,-121.923843,police
37.235074,-121.8500515,police
37.3417179,-121.7838622,police
37.32822730000001,-121.8455245,police
37.3768464,-121.8953634,police
37.372409,-121.840563,police
37.3169975,-121.8444021,police
37.2919512,-121.8817889,police
37.304494,-121.8261201,police
37.2742077,-121.8609294,police
37.2922772,-121.879937,police
37.2944441,-121.913615,police
37.3203408,-121.8779398,police
37.3095908,-121.8847242,police
37.3571221,-121.9324723,police
37.3095908,-121.8847242,police
37.294848,-121.8341713,police
37.3049508,-121.849543,police
37.3262237,-121.9062187,police
37.30143229999999,-121.8583069,police
37.2591511,-121.8473968,police
37.27511430000001,-121.8400636,police
37.3787855,-121.9111697,police
37.3260347,-121.9369225,police
37.3242379,-121.8688077,police
37.355183,-121.8064767,police
37.2742077,-121.8609294,police
37.33874,-121.8852525,police
37.3708758,-121.9156123,police
37.3067763,-121.8998877,police
37.304494,-121.8261201,police
37.345654,-121.8706407,police
37.3289489,-121.8719348,police
37.345654,-121.8706407,police
37.3440503,-121.8648665,police
37.3512321,-121.8708965,police
37.3208948,-121.9112252,police
37.3060556,-122.0321806,police
37.2966562,-121.9866591,police
37.336168,-121.8906259,police
37.4069575,-121.887665,police
37.3482269,-121.8776864,police
37.293338,-121.8332509,police
37.2697452,-121.8762668,police
37.2485384,-121.8088093,police
37.3423608,-121.8628545,police
37.2397466,-121.7993828,police
37.3187817,-121.8848609,police
37.2576949,-121.8787996,police
37.3398236,-121.8431484,police
37.2904163,-121.8279146,police
37.3070424,-121.8108472,police
37.2904163,-121.8279146,police
37.2798947,-121.8791787,police
37.3366913,-121.8895003,police
37.3658007,-121.8280016,police
37.3327124,-121.8919253,police
37.3459576,-121.7864822,police
37.3187271,-121.8224334,police
37.293689,-122.015922,police
37.3256289,-121.8139115,police
37.3558984,-121.8858958,police
37.318438,-121.8234712,police
37.3601804,-121.8527169,police
37.3311101,-121.8128426,police
37.33874,-121.8852525,police
37.3136006,-121.7740862,police
37.3509825,-121.8268977,police
37.2785188,-121.889539,police
37.2957292,-121.8849199,police
37.3375835,-121.8515398,police
37.2418606,-121.8209894,police
37.3375835,-121.8515398,police
37.3124813,-121.8516799,police
37.2943968,-121.9203308,police
37.3030271,-122.0321837,police
37.3341112,-121.9437572,police
37.3296096,-121.8992454,police
37.2925802,-121.9881879,police
37.2984778,-121.9529336,police
37.3479566,-121.8331799,police
37.2910273,-121.8907624,police
37.2686521,-121.9046214,police
